"filename", "language", "Python", "comment", "blank", "total"
"/home/hhy/Social-Production/CCMABM.py", "Python", 3, 2, 0, 5
"/home/hhy/Social-Production/agent.py", "Python", 15, 0, 5, 20
"Total", "-", 18, 2, 5, 25
