"filename", "language", "Python", "comment", "blank", "total"
"/home/hhy/Social-Production/CCMABM.py", "Python", 2, 0, 1, 3
"/home/hhy/Social-Production/agent.py", "Python", 25, 7, 2, 34
"Total", "-", 27, 7, 3, 37
