"filename", "language", "Python", "comment", "blank", "total"
"/home/hhy/Social-Production/CCMABM.py", "Python", 1, 0, 0, 1
"/home/hhy/Social-Production/agent.py", "Python", 26, 19, 4, 49
"/home/hhy/Social-Production/solve.py", "Python", 37, 5, 6, 48
"Total", "-", 64, 24, 10, 98
